12/1/11,120
12/2/11,83
12/3/11,86
12/4/11,81
12/5/11,99
12/6/11,113
12/7/11,107
12/8/11,128
12/9/11,126
12/10/11,72
12/11/11,79
12/12/11,135
12/13/11,151
12/14/11,123
12/15/11,123
12/16/11,76
12/17/11,81
12/18/11,76
12/19/11,121
12/20/11,105
12/21/11,79
12/22/11,89
12/23/11,63
12/24/11,53
12/25/11,52
12/26/11,73
12/27/11,75
12/28/11,72
12/29/11,65
12/30/11,96
12/31/11,38
1/1/12,52
1/2/12,73
1/3/12,81
1/4/12,90
1/5/12,96
1/6/12,106
1/7/12,70
1/8/12,75
1/9/12,114
1/10/12,121
1/11/12,119
1/12/12,100
1/13/12,91
1/14/12,106
1/15/12,66
1/16/12,106
1/17/12,114
1/18/12,86
1/19/12,79
1/20/12,88
1/21/12,69
1/22/12,62
1/23/12,107
1/24/12,174
1/25/12,112
1/26/12,116
1/27/12,106
1/28/12,89
1/29/12,103
1/30/12,129
1/31/12,391
2/1/12,225
2/2/12,168
2/3/12,149
2/4/12,103
2/5/12,100
2/6/12,157
2/7/12,157
2/8/12,160
2/9/12,148
2/10/12,122
2/11/12,93
2/12/12,87
2/13/12,150
2/14/12,34
2/15/12,111
2/16/12,130
2/17/12,122
2/18/12,78
2/19/12,69
2/20/12,128
2/21/12,145
2/22/12,130
2/23/12,172
2/24/12,143
2/25/12,98
2/26/12,98
2/27/12,154
2/28/12,185
2/29/12,138
3/1/12,282
3/2/12,160
3/3/12,94
3/4/12,89
3/5/12,153
3/6/12,153
3/7/12,145
3/8/12,122
3/9/12,36